Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2015,Yukon,Enregistrement,Exploitation forestière totale,924
2016,Canada,Enregistrement,Exploitation forestière totale,9782530
2016,Alberta,Enregistrement,Exploitation forestière totale,917631
2016,Colombie-Britannique,Enregistrement,Exploitation forestière totale,4801576
2016,Manitoba,Enregistrement,Exploitation forestière totale,39167
2016,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,665100
2016,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,69360
2016,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,80
2016,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,108286
2016,Nunavut,Enregistrement,Exploitation forestière totale,0
2016,Ontario,Enregistrement,Exploitation forestière totale,1043589
2016,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,11669
2016,Québec,Enregistrement,Exploitation forestière totale,1994822
2016,Saskatchewan,Enregistrement,Exploitation forestière totale,130467
2016,Yukon,Enregistrement,Exploitation forestière totale,784
2017,Canada,Enregistrement,Exploitation forestière totale,10154358
2017,Alberta,Enregistrement,Exploitation forestière totale,951289
2017,Colombie-Britannique,Enregistrement,Exploitation forestière totale,5053929
2017,Manitoba,Enregistrement,Exploitation forestière totale,43066
2017,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,612745
2017,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,32508
2017,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2017,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,100363
2017,Nunavut,Enregistrement,Exploitation forestière totale,0
2017,Ontario,Enregistrement,Exploitation forestière totale,1096059
2017,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,11378
2017,Québec,Enregistrement,Exploitation forestière totale,2117076
2017,Saskatchewan,Enregistrement,Exploitation forestière totale,135183
2017,Yukon,Enregistrement,Exploitation forestière totale,654
2018,Canada,Enregistrement,Exploitation forestière totale,10729699
2018,Alberta,Enregistrement,Exploitation forestière totale,981694
2018,Colombie-Britannique,Enregistrement,Exploitation forestière totale,5557162
2018,Manitoba,Enregistrement,Exploitation forestière totale,45886
2018,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,625823
2018,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,32768
2018,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2018,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,107515
2018,Nunavut,Enregistrement,Exploitation forestière totale,0
2018,Ontario,Enregistrement,Exploitation forestière totale,1146483
2018,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,10814
2018,Québec,Enregistrement,Exploitation forestière totale,2089486
2018,Saskatchewan,Enregistrement,Exploitation forestière totale,131296
2018,Yukon,Enregistrement,Exploitation forestière totale,0
2019,Canada,Enregistrement,Exploitation forestière totale,10529444
2019,Alberta,Enregistrement,Exploitation forestière totale,1086693
2019,Colombie-Britannique,Enregistrement,Exploitation forestière totale,5230109
2019,Manitoba,Enregistrement,Exploitation forestière totale,48098
2019,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,647937
2019,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,28422
2019,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2019,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,112283
2019,Nunavut,Enregistrement,Exploitation forestière totale,0
2019,Ontario,Enregistrement,Exploitation forestière totale,1081717
2019,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,10670
2019,Québec,Enregistrement,Exploitation forestière totale,2144434
2019,Saskatchewan,Enregistrement,Exploitation forestière totale,138018
2019,Yukon,Enregistrement,Exploitation forestière totale,1009
2020,Canada,Enregistrement,Exploitation forestière totale,9565571
2020,Alberta,Enregistrement,Exploitation forestière totale,1205475
2020,Colombie-Britannique,Enregistrement,Exploitation forestière totale,4292465
2020,Manitoba,Enregistrement,Exploitation forestière totale,43249
2020,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,645926
2020,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,26928
2020,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2020,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,96095
2020,Nunavut,Enregistrement,Exploitation forestière totale,0
2020,Ontario,Enregistrement,Exploitation forestière totale,1037396
2020,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,10778
2020,Québec,Enregistrement,Exploitation forestière totale,2063738
2020,Saskatchewan,Enregistrement,Exploitation forestière totale,142840
2020,Yukon,Enregistrement,Exploitation forestière totale,643
2021,Canada,Enregistrement,Exploitation forestière totale,10819112
2021,Alberta,Enregistrement,Exploitation forestière totale,1168680
2021,Colombie-Britannique,Enregistrement,Exploitation forestière totale,5287678
2021,Manitoba,Enregistrement,Exploitation forestière totale,45707
2021,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,683680
2021,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,27319
2021,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2021,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,107091
2021,Nunavut,Enregistrement,Exploitation forestière totale,0
2021,Ontario,Enregistrement,Exploitation forestière totale,1027737
2021,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,12062
2021,Québec,Enregistrement,Exploitation forestière totale,2296608
2021,Saskatchewan,Enregistrement,Exploitation forestière totale,160781
2021,Yukon,Enregistrement,Exploitation forestière totale,1655
2022,Canada,Enregistrement,Exploitation forestière totale,11379856
2022,Alberta,Enregistrement,Exploitation forestière totale,1154501
2022,Colombie-Britannique,Enregistrement,Exploitation forestière totale,5436950
2022,Manitoba,Enregistrement,Exploitation forestière totale,68207
2022,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,708349
2022,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,28604
2022,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2022,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,111349
2022,Nunavut,Enregistrement,Exploitation forestière totale,0
2022,Ontario,Enregistrement,Exploitation forestière totale,1075340
2022,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,14396
2022,Québec,Enregistrement,Exploitation forestière totale,2606426
2022,Saskatchewan,Enregistrement,Exploitation forestière totale,175119
2022,Yukon,Enregistrement,Exploitation forestière totale,497
2023,Canada,Enregistrement,Exploitation forestière totale,10874108
2023,Alberta,Enregistrement,Exploitation forestière totale,1265583
2023,Colombie-Britannique,Enregistrement,Exploitation forestière totale,4722788
2023,Manitoba,Enregistrement,Exploitation forestière totale,64569
2023,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,682080
2023,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,29600
2023,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2023,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,104816
2023,Nunavut,Enregistrement,Exploitation forestière totale,0
2023,Ontario,Enregistrement,Exploitation forestière totale,1114399
2023,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,15601
2023,Québec,Enregistrement,Exploitation forestière totale,2702594
2023,Saskatchewan,Enregistrement,Exploitation forestière totale,170874
2023,Yukon,Enregistrement,Exploitation forestière totale,1048
