Year,Jurisdiciton,Capital and repair expenditures,Measure,"Value (1,000 dollars)"
2012,Canada,Repair expenditures,Forestry and logging,381400
2012,Canada,Repair expenditures,Paper manufacturing,1702000
2012,Canada,Repair expenditures,Wood product manufacturing,627600
2013,Canada,Capital expenditures,Forestry and logging,308400
2013,Canada,Capital expenditures,Paper manufacturing,839800
2013,Canada,Capital expenditures,Wood product manufacturing,702800
2013,Canada,Repair expenditures,Forestry and logging,434600
2013,Canada,Repair expenditures,Paper manufacturing,1088900
2013,Canada,Repair expenditures,Wood product manufacturing,914200
2014,Canada,Capital expenditures,Forestry and logging,413000
2014,Canada,Capital expenditures,Paper manufacturing,971300
2014,Canada,Capital expenditures,Wood product manufacturing,1021600
2014,Canada,Repair expenditures,Forestry and logging,513800
2014,Canada,Repair expenditures,Paper manufacturing,1265200
2014,Canada,Repair expenditures,Wood product manufacturing,912300
2015,Canada,Capital expenditures,Forestry and logging,462900
2015,Canada,Capital expenditures,Paper manufacturing,852600
2015,Canada,Capital expenditures,Wood product manufacturing,1260700
2015,Canada,Repair expenditures,Forestry and logging,383900
2015,Canada,Repair expenditures,Paper manufacturing,1388400
2015,Canada,Repair expenditures,Wood product manufacturing,965800
2016,Canada,Capital expenditures,Forestry and logging,508400
2016,Canada,Capital expenditures,Paper manufacturing,727100
2016,Canada,Capital expenditures,Wood product manufacturing,822700
2016,Canada,Repair expenditures,Forestry and logging,428400
2016,Canada,Repair expenditures,Paper manufacturing,1204900
2016,Canada,Repair expenditures,Wood product manufacturing,1100900
2017,Canada,Capital expenditures,Forestry and logging,456100
2017,Canada,Capital expenditures,Paper manufacturing,799300
2017,Canada,Capital expenditures,Wood product manufacturing,792300
2017,Canada,Repair expenditures,Forestry and logging,411000
2017,Canada,Repair expenditures,Paper manufacturing,1051400
2017,Canada,Repair expenditures,Wood product manufacturing,1018200
2018,Canada,Capital expenditures,Forestry and logging,581600
2018,Canada,Capital expenditures,Paper manufacturing,840300
2018,Canada,Capital expenditures,Wood product manufacturing,1136600
2018,Canada,Repair expenditures,Forestry and logging,515500
2018,Canada,Repair expenditures,Paper manufacturing,1251800
2018,Canada,Repair expenditures,Wood product manufacturing,1069100
2019,Canada,Capital expenditures,Forestry and logging,553700
2019,Canada,Capital expenditures,Paper manufacturing,998100
2019,Canada,Capital expenditures,Wood product manufacturing,1155000
2019,Canada,Repair expenditures,Forestry and logging,524200
2019,Canada,Repair expenditures,Paper manufacturing,1263700
2019,Canada,Repair expenditures,Wood product manufacturing,1241600
2020,Canada,Capital expenditures,Forestry and logging,500400
2020,Canada,Capital expenditures,Paper manufacturing,1071500
2020,Canada,Capital expenditures,Wood product manufacturing,908600
2020,Canada,Repair expenditures,Forestry and logging,517400
2020,Canada,Repair expenditures,Paper manufacturing,1124700
2020,Canada,Repair expenditures,Wood product manufacturing,1151700
2021,Canada,Capital expenditures,Forestry and logging,0
2021,Canada,Capital expenditures,Paper manufacturing,986100
2021,Canada,Capital expenditures,Wood product manufacturing,1248900
2021,Canada,Repair expenditures,Forestry and logging,0
2021,Canada,Repair expenditures,Paper manufacturing,1452100
2021,Canada,Repair expenditures,Wood product manufacturing,1189600
2022,Canada,Capital expenditures,Forestry and logging,815900
2022,Canada,Capital expenditures,Paper manufacturing,1004400
2022,Canada,Capital expenditures,Wood product manufacturing,1355700
2022,Canada,Repair expenditures,Forestry and logging,491100
2022,Canada,Repair expenditures,Paper manufacturing,1402200
2022,Canada,Repair expenditures,Wood product manufacturing,1264300
2023,Canada,Capital expenditures,Forestry and logging,747800
2023,Canada,Capital expenditures,Paper manufacturing,1381200
2023,Canada,Capital expenditures,Wood product manufacturing,1509600
2023,Canada,Repair expenditures,Forestry and logging,519100
2023,Canada,Repair expenditures,Paper manufacturing,1836200
2023,Canada,Repair expenditures,Wood product manufacturing,1231800
2024,Canada,Capital expenditures,Forestry and logging,672800
2024,Canada,Capital expenditures,Paper manufacturing,1322100
2024,Canada,Capital expenditures,Wood product manufacturing,0
