Year,Measure,Value
2013,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",46.534275046969
2013,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",27
2013,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",73.534275046969
2013,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",154
2014,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",43.0543810063018
2014,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",160
2014,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",203.054381006302
2014,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",154
2015,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",46.8998552945983
2015,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",250
2015,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",296.899855294598
2015,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",161.333333333333
2016,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",36.800968700366
2016,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",86
2016,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",122.800968700366
2016,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",157.666666666667
2017,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",35.2062916482876
2017,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",220
2017,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",255.206291648288
2017,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",157.666666666667
2018,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",38.211255116427
2018,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",250
2018,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",288.211255116427
2018,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",157.666666666667
2019,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",24.5939799220806
2019,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",160
2019,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",184.593979922081
2019,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",143
2020,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",32.6950068350597
2020,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",4.2
2020,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",36.8950068350597
2020,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",143
2021,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",24.2711302478931
2021,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",300
2021,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",324.271130247893
2021,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",143
2022,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",21.2314092147986
2022,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",93
2022,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",114.231409214799
2022,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",143
